"","x","y","avg","min","max"
"1",-84.625,-67.8125,47,47,47
"2",-84.625,-67.6875,48,48,48
"3",-84.375,-68.3125,113.5,110,117
"4",-84.375,-68.1875,118,118,118
"5",-84.375,-67.9375,45.5,45,46
"6",-84.375,-67.5625,49,49,49
"7",-84.125,-68.3125,107.5,106,109
"8",-84.125,-68.1875,119.5,119,120
"9",-84.125,-68.0625,43,43,43
"10",-84.125,-67.9375,44,44,44
"11",-84.125,-67.4375,50,50,50
"12",-83.875,-68.3125,103,101,105
"13",-83.875,-68.1875,116,100,122
"14",-83.875,-68.0625,41.5,41,42
"15",-83.875,-67.9375,81.8461538461538,73,89
"16",-83.875,-67.8125,81.6363636363636,77,86
"17",-83.875,-67.6875,54.2307692307692,35,90
"18",-83.875,-67.5625,44,44,44
"19",-83.875,-67.4375,51,51,51
"20",-83.625,-68.6875,126,125,127
"21",-83.625,-68.5625,123.5,123,124
"22",-83.625,-68.1875,88.55,39,123
"23",-83.625,-68.0625,86.6296296296296,66,125
"24",-83.625,-67.9375,92.1785714285714,69,126
"25",-83.625,-67.8125,86.4,71,104
"26",-83.625,-67.6875,77.2857142857143,32,105
"27",-83.625,-67.5625,69.4117647058823,45,103
"28",-83.625,-67.4375,84.75,64,105
"29",-83.625,-67.3125,52,52,52
"30",-83.375,-68.8125,128.5,128,129
"31",-83.375,-68.5625,122,122,122
"32",-83.375,-68.3125,36,36,36
"33",-83.375,-68.1875,65,37,93
"34",-83.375,-68.0625,81.6774193548387,63,97
"35",-83.375,-67.9375,82,58,100
"36",-83.375,-67.8125,76.3333333333333,28,127
"37",-83.375,-67.6875,55.9705882352941,31,128
"38",-83.375,-67.5625,54.2222222222222,38,102
"39",-83.375,-67.4375,102.076923076923,55,136
"40",-83.375,-67.3125,101.2,57,137
"41",-83.375,-67.1875,103.6,97,107
"42",-83.375,-66.8125,33.5,29,38
"43",-83.375,-66.6875,36.1111111111111,26,43
"44",-83.375,-66.5625,45,44,46
"45",-83.125,-68.8125,155.5,130,162
"46",-83.125,-68.6875,156,154,158
"47",-83.125,-68.4375,121,121,121
"48",-83.125,-68.3125,34,33,35
"49",-83.125,-68.1875,167.888888888889,164,171
"50",-83.125,-68.0625,70.6923076923077,58,89
"51",-83.125,-67.9375,61.7857142857143,24,83
"52",-83.125,-67.8125,61.0625,25,106
"53",-83.125,-67.6875,59.3870967741936,30,109
"54",-83.125,-67.5625,89.3478260869565,49,162
"55",-83.125,-67.4375,99.9259259259259,58,163
"56",-83.125,-67.3125,99.6086956521739,53,172
"57",-83.125,-67.1875,104.545454545455,61,134
"58",-83.125,-67.0625,108,105,111
"59",-83.125,-66.9375,104.5,98,108
"60",-83.125,-66.6875,23.5,22,25
