"","x","y","numb"
"1",-106.125,-74.5625,1
"2",-106.125,-74.4375,6
"3",-106.125,-72.4375,2
"4",-106.125,-72.3125,2
"5",-105.875,-74.5625,3
"6",-105.875,-72.3125,1
"7",-105.625,-74.5625,3
"8",-105.625,-72.3125,2
"9",-105.375,-74.5625,3
"10",-105.375,-72.3125,4
"11",-105.125,-74.6875,2
"12",-105.125,-74.5625,1
"13",-105.125,-74.4375,1
"14",-105.125,-72.1875,2
"15",-104.875,-74.8125,1
"16",-104.875,-74.6875,4
"17",-104.875,-74.4375,2
"18",-104.875,-74.3125,5
"19",-104.875,-72.5625,1
"20",-104.875,-72.3125,1
"21",-104.875,-72.1875,6
"22",-104.875,-72.0625,3
"23",-104.625,-74.8125,2
"24",-104.625,-74.6875,1
"25",-104.625,-74.3125,2
"26",-104.625,-73.0625,2
"27",-104.625,-72.9375,7
"28",-104.625,-72.6875,4
"29",-104.625,-72.5625,2
"30",-104.625,-72.4375,8
"31",-104.625,-72.3125,7
"32",-104.625,-72.1875,4
"33",-104.625,-72.0625,10
"34",-104.625,-71.9375,10
"35",-104.375,-74.8125,4
"36",-104.375,-74.3125,5
"37",-104.375,-73.1875,1
"38",-104.375,-73.0625,3
"39",-104.375,-72.9375,6
"40",-104.375,-72.8125,4
"41",-104.375,-72.6875,6
"42",-104.375,-72.5625,5
"43",-104.375,-72.4375,3
"44",-104.375,-72.3125,4
"45",-104.375,-72.1875,1
"46",-104.375,-72.0625,3
"47",-104.375,-71.9375,13
"48",-104.375,-71.8125,1
"49",-104.375,-71.6875,2
"50",-104.125,-74.8125,4
"51",-104.125,-74.4375,1
"52",-104.125,-74.3125,4
"53",-104.125,-73.1875,3
"54",-104.125,-73.0625,4
"55",-104.125,-72.9375,5
"56",-104.125,-72.8125,7
"57",-104.125,-72.6875,5
"58",-104.125,-72.5625,3
"59",-104.125,-72.4375,1
"60",-104.125,-72.3125,1
"61",-104.125,-72.1875,2
"62",-104.125,-72.0625,6
"63",-104.125,-71.9375,9
"64",-104.125,-71.8125,2
"65",-104.125,-71.6875,3
"66",-103.875,-74.8125,3
"67",-103.875,-74.6875,1
"68",-103.875,-74.3125,2
"69",-103.875,-74.0625,1
"70",-103.875,-73.9375,1
"71",-103.875,-73.8125,4
"72",-103.875,-73.5625,1
"73",-103.875,-73.4375,2
"74",-103.875,-73.3125,2
"75",-103.875,-73.1875,3
"76",-103.875,-73.0625,4
"77",-103.875,-72.9375,1
"78",-103.875,-72.8125,3
