"","x","y","numb"
"1",-101.875,-71.9375,1
"2",-101.625,-71.8125,1
"3",-101.375,-71.8125,1
"4",-101.125,-71.8125,1
"5",-100.875,-71.8125,1
"6",-100.375,-71.8125,1
"7",-100.125,-71.8125,1
"8",-99.875,-71.8125,1
"9",-99.625,-71.8125,1
"10",-99.375,-71.6875,1
"11",-99.125,-71.6875,2
"12",-98.875,-71.6875,3
"13",-98.625,-71.6875,5
"14",-98.375,-71.8125,1
"15",-98.375,-71.6875,8
"16",-98.375,-71.5625,8
"17",-98.125,-71.8125,2
"18",-98.125,-71.6875,4
"19",-97.875,-71.8125,1
"20",-97.875,-71.6875,3
"21",-97.625,-71.8125,3
"22",-97.625,-71.6875,2
"23",-97.375,-71.8125,3
"24",-97.375,-71.6875,2
"25",-97.125,-71.8125,3
"26",-97.125,-71.6875,2
"27",-97.125,-71.5625,1
"28",-96.875,-71.8125,6
"29",-96.875,-71.6875,4
"30",-96.625,-71.8125,8
"31",-96.625,-71.6875,4
"32",-96.625,-71.5625,1
"33",-96.375,-71.8125,5
"34",-96.375,-71.6875,4
"35",-96.375,-71.5625,1
"36",-96.375,-71.4375,1
"37",-96.125,-71.8125,3
"38",-96.125,-71.6875,9
"39",-96.125,-71.5625,3
"40",-95.875,-71.9375,7
"41",-95.875,-71.8125,14
"42",-95.875,-71.6875,10
"43",-95.875,-71.5625,4
"44",-95.625,-71.9375,22
"45",-95.625,-71.8125,5
"46",-95.625,-71.6875,3
"47",-95.375,-72.1875,9
"48",-95.375,-72.0625,9
"49",-95.375,-71.9375,7
"50",-95.375,-71.8125,8
"51",-95.375,-71.6875,1
"52",-95.125,-72.1875,14
"53",-95.125,-72.0625,11
"54",-95.125,-71.9375,12
"55",-95.125,-71.8125,4
"56",-95.125,-71.6875,1
"57",-94.875,-72.3125,2
"58",-94.875,-72.1875,18
"59",-94.875,-72.0625,9
"60",-94.875,-71.9375,5
"61",-94.875,-71.6875,2
"62",-94.625,-72.1875,12
"63",-94.625,-72.0625,5
"64",-94.625,-71.9375,5
"65",-94.625,-71.6875,5
"66",-94.375,-72.3125,45
"67",-94.375,-72.1875,28
"68",-94.375,-72.0625,6
"69",-94.375,-71.9375,2
