"","x","y","numb"
"1",-59.375,-70.0625,5
"2",-59.125,-70.0625,8
"3",-59.125,-69.9375,2
"4",-59.125,-69.8125,3
"5",-59.125,-69.6875,1
"6",-58.875,-70.9375,5
"7",-58.875,-70.8125,1
"8",-58.875,-70.1875,6
"9",-58.875,-70.0625,14
"10",-58.875,-69.9375,5
"11",-58.875,-69.8125,6
"12",-58.875,-69.6875,9
"13",-58.875,-69.5625,5
"14",-58.625,-71.4375,1
"15",-58.625,-71.3125,1
"16",-58.625,-70.9375,10
"17",-58.625,-70.8125,11
"18",-58.625,-70.1875,11
"19",-58.625,-70.0625,12
"20",-58.625,-69.9375,8
"21",-58.625,-69.8125,6
"22",-58.625,-69.6875,3
"23",-58.625,-69.5625,6
"24",-58.625,-69.4375,3
"25",-58.375,-71.5625,3
"26",-58.375,-71.4375,5
"27",-58.375,-71.0625,1
"28",-58.375,-70.9375,13
"29",-58.375,-70.8125,9
"30",-58.375,-70.4375,5
"31",-58.375,-70.3125,20
"32",-58.375,-70.1875,10
"33",-58.375,-70.0625,17
"34",-58.375,-69.9375,15
"35",-58.375,-69.8125,11
"36",-58.375,-69.5625,2
"37",-58.125,-71.6875,6
"38",-58.125,-71.5625,19
"39",-58.125,-71.4375,11
"40",-58.125,-71.3125,8
"41",-58.125,-71.1875,6
"42",-58.125,-71.0625,32
"43",-58.125,-70.9375,31
"44",-58.125,-70.8125,6
"45",-58.125,-70.6875,4
"46",-58.125,-70.5625,3
"47",-58.125,-70.4375,17
"48",-58.125,-70.3125,28
"49",-58.125,-70.1875,22
"50",-58.125,-70.0625,29
"51",-58.125,-69.9375,21
"52",-57.875,-71.6875,4
"53",-57.875,-71.5625,12
"54",-57.875,-71.4375,21
"55",-57.875,-71.3125,16
"56",-57.875,-71.1875,9
"57",-57.875,-71.0625,161
"58",-57.875,-70.9375,202
"59",-57.875,-70.8125,52
"60",-57.875,-70.6875,15
"61",-57.875,-70.5625,19
"62",-57.875,-70.4375,40
"63",-57.875,-70.3125,106
"64",-57.875,-70.1875,96
"65",-57.875,-70.0625,46
"66",-57.875,-69.9375,16
"67",-57.625,-71.6875,1
"68",-57.625,-71.5625,13
"69",-57.625,-71.4375,43
"70",-57.625,-71.3125,36
"71",-57.625,-71.1875,44
"72",-57.625,-71.0625,109
"73",-57.625,-70.9375,220
"74",-57.625,-70.8125,245
"75",-57.625,-70.6875,146
"76",-57.625,-70.5625,87
"77",-57.625,-70.4375,163
"78",-57.625,-70.3125,97
"79",-57.625,-70.1875,54
"80",-57.625,-70.0625,14
"81",-57.625,-69.9375,41
"82",-57.625,-69.8125,20
"83",-57.375,-71.6875,4
"84",-57.375,-71.5625,8
"85",-57.375,-71.4375,100
"86",-57.375,-71.3125,8
"87",-57.375,-71.1875,56
"88",-57.375,-71.0625,71
"89",-57.375,-70.9375,201
"90",-57.375,-70.8125,284
"91",-57.375,-70.6875,191
"92",-57.375,-70.5625,198
"93",-57.375,-70.4375,180
"94",-57.375,-70.3125,172
"95",-57.375,-70.1875,49
"96",-57.375,-70.0625,2
"97",-57.375,-69.9375,35
"98",-57.375,-69.8125,52
"99",-57.375,-69.6875,7
