"","x","y","avg","min","max"
"1",-50.125,-60.0625,59,57,60
"2",-49.875,-60.6875,37.5,35,40
"3",-49.875,-60.5625,41.75,32,51
"4",-49.875,-60.4375,52.5,52,53
"5",-49.875,-60.3125,54,54,54
"6",-49.875,-60.0625,53.8823529411765,47,59
"7",-49.875,-59.9375,57,57,57
"8",-49.625,-60.6875,47.85,34,60
"9",-49.625,-60.5625,35.5714285714286,26,49
"10",-49.625,-60.3125,55,55,55
"11",-49.625,-60.1875,56.5,56,57
"12",-49.625,-60.0625,49.4166666666667,42,59
"13",-49.625,-59.9375,55.6,53,60
"14",-49.375,-60.6875,50.9090909090909,42,60
"15",-49.375,-60.5625,25.625,20,32
"16",-49.375,-60.1875,46.5,45,48
"17",-49.375,-60.0625,43.4545454545455,36,50
"18",-49.375,-59.9375,38.75,29,52
"19",-49.125,-60.5625,22.3333333333333,17,28
"20",-49.125,-60.4375,26.2857142857143,20,29
"21",-49.125,-60.3125,32.6875,29,37
"22",-49.125,-60.1875,35.7368421052632,26,44
"23",-49.125,-60.0625,37.2564102564103,19,60
"24",-49.125,-59.9375,30.9428571428571,18,58
"25",-49.125,-59.8125,21.5,20,23
"26",-49.125,-58.9375,45,45,45
"27",-49.125,-58.8125,46.625,35,50
"28",-49.125,-58.6875,50.6666666666667,49,54
"29",-48.875,-60.5625,20.25,15,25
"30",-48.875,-60.4375,23.8421052631579,19,33
"31",-48.875,-60.3125,23.56,17,35
"32",-48.875,-60.1875,29.6190476190476,25,37
"33",-48.875,-60.0625,32.2289156626506,20,54
"34",-48.875,-59.9375,32.4415584415584,16,55
"35",-48.875,-59.8125,22.8936170212766,9,49
"36",-48.875,-59.6875,24.5,24,25
"37",-48.875,-58.9375,43.3333333333333,27,53
"38",-48.875,-58.8125,49.7142857142857,28,58
"39",-48.875,-58.6875,48,33,60
"40",-48.625,-60.5625,13,13,13
"41",-48.625,-60.4375,20.4509803921569,14,34
"42",-48.625,-60.3125,24.1149425287356,14,57
"43",-48.625,-60.1875,29.7894736842105,20,60
"44",-48.625,-60.0625,34.2348993288591,14,60
"45",-48.625,-59.9375,32.3076923076923,6,60
"46",-48.625,-59.8125,23.2017543859649,7,58
"47",-48.625,-59.6875,21.4473684210526,10,50
"48",-48.625,-59.5625,19,13,25
"49",-48.625,-59.4375,26,26,26
"50",-48.625,-59.0625,46.5,46,47
"51",-48.625,-58.9375,46.5294117647059,26,60
"52",-48.625,-58.8125,48.1666666666667,32,59
"53",-48.625,-58.6875,47,29,59
"54",-48.625,-58.5625,49.4444444444444,34,59
"55",-48.375,-60.8125,12.6666666666667,7,16
"56",-48.375,-60.6875,12.4,8,18
"57",-48.375,-60.5625,15.9285714285714,10,21
"58",-48.375,-60.4375,20.8210526315789,12,38
"59",-48.375,-60.3125,27.1336633663366,10,56
"60",-48.375,-60.1875,31.45,12,54
"61",-48.375,-60.0625,33.5870646766169,5,60
"62",-48.375,-59.9375,31.9047619047619,5,60
"63",-48.375,-59.8125,29.437037037037,6,60
"64",-48.375,-59.6875,22.3448275862069,9,53
"65",-48.375,-59.5625,23.7575757575758,10,52
"66",-48.375,-59.4375,28.2222222222222,13,52
"67",-48.375,-59.3125,38.3333333333333,16,50
"68",-48.375,-59.1875,47.5714285714286,42,55
"69",-48.375,-59.0625,43.5833333333333,18,59
"70",-48.375,-58.9375,39.7142857142857,19,57
"71",-48.375,-58.8125,39.75,29,53
"72",-48.375,-58.6875,40.3333333333333,31,52
"73",-48.375,-58.5625,49.9230769230769,30,60
"74",-48.375,-58.4375,50,49,51
"75",-48.125,-61.0625,7.66666666666667,6,10
"76",-48.125,-60.9375,8.02631578947368,4,16
"77",-48.125,-60.8125,10.78,5,58
"78",-48.125,-60.6875,14.9345794392523,7,60
"79",-48.125,-60.5625,17.5858585858586,9,59
"80",-48.125,-60.4375,22.1365853658537,9,60
"81",-48.125,-60.3125,28.8698481561822,4,60
"82",-48.125,-60.1875,31.5844504021448,6,60
"83",-48.125,-60.0625,33.7281105990783,3,60
"84",-48.125,-59.9375,32.030612244898,4,60
"85",-48.125,-59.8125,37.9565217391304,7,59
"86",-48.125,-59.6875,28.2315789473684,6,59
"87",-48.125,-59.5625,25.4166666666667,6,60
"88",-48.125,-59.4375,22.6444444444444,9,53
"89",-48.125,-59.3125,24.1785714285714,11,54
"90",-48.125,-59.1875,30.625,12,54
"91",-48.125,-59.0625,36.8,13,58
"92",-48.125,-58.9375,40.8461538461538,19,57
"93",-48.125,-58.8125,43.1,20,59
"94",-48.125,-58.6875,44.4285714285714,30,60
"95",-48.125,-58.5625,49.5,39,57
"96",-48.125,-58.4375,38,38,38
"97",-48.125,-58.1875,51,50,52
"98",-48.125,-57.8125,52,51,53
"99",-48.125,-57.6875,56,55,57
"100",-47.875,-61.0625,8.22535211267606,1,50
