"","x","y","numb"
"1",-31.875,-55.0625,1
"2",-31.375,-54.6875,3
"3",-31.125,-54.9375,1
"4",-31.125,-54.8125,1
"5",-30.875,-55.0625,1
"6",-30.375,-55.1875,2
"7",-30.125,-55.3125,8
"8",-30.125,-55.1875,7
"9",-30.125,-55.0625,3
"10",-29.875,-58.1875,1
"11",-29.875,-57.5625,2
"12",-29.875,-57.4375,3
"13",-29.875,-55.6875,1
"14",-29.875,-55.5625,12
"15",-29.875,-55.4375,25
"16",-29.875,-55.3125,15
"17",-29.875,-55.1875,16
"18",-29.875,-55.0625,5
"19",-29.875,-54.9375,6
"20",-29.875,-54.8125,3
"21",-29.625,-58.9375,4
"22",-29.625,-58.8125,6
"23",-29.625,-58.6875,11
"24",-29.625,-58.5625,9
"25",-29.625,-58.4375,17
"26",-29.625,-58.3125,5
"27",-29.625,-58.1875,3
"28",-29.625,-57.9375,2
"29",-29.625,-57.8125,3
"30",-29.625,-57.6875,4
"31",-29.625,-57.5625,4
"32",-29.625,-56.8125,2
"33",-29.625,-56.6875,2
"34",-29.625,-56.5625,2
"35",-29.625,-56.4375,2
"36",-29.625,-56.3125,2
"37",-29.625,-56.1875,2
"38",-29.625,-56.0625,8
"39",-29.625,-55.9375,23
"40",-29.625,-55.8125,24
"41",-29.625,-55.6875,32
"42",-29.625,-55.5625,25
"43",-29.625,-55.4375,52
"44",-29.625,-55.3125,15
"45",-29.625,-55.1875,13
"46",-29.625,-55.0625,14
"47",-29.625,-54.9375,2
"48",-29.625,-54.8125,4
"49",-29.625,-54.6875,1
"50",-29.375,-59.0625,7
"51",-29.375,-58.9375,35
"52",-29.375,-58.8125,63
"53",-29.375,-58.6875,47
"54",-29.375,-58.5625,51
"55",-29.375,-58.4375,82
"56",-29.375,-58.3125,50
"57",-29.375,-58.1875,31
"58",-29.375,-58.0625,29
"59",-29.375,-57.9375,11
"60",-29.375,-57.8125,18
"61",-29.375,-57.6875,4
"62",-29.375,-57.5625,5
"63",-29.375,-57.4375,9
"64",-29.375,-57.3125,7
"65",-29.375,-57.1875,6
"66",-29.375,-57.0625,7
"67",-29.375,-56.9375,4
"68",-29.375,-56.8125,1
"69",-29.375,-56.4375,1
"70",-29.375,-56.3125,2
"71",-29.375,-56.1875,18
"72",-29.375,-56.0625,110
"73",-29.375,-55.9375,65
"74",-29.375,-55.8125,63
"75",-29.375,-55.6875,79
"76",-29.375,-55.5625,49
"77",-29.375,-55.4375,39
"78",-29.375,-55.3125,21
"79",-29.375,-55.1875,12
"80",-29.375,-55.0625,12
"81",-29.375,-54.9375,4
"82",-29.375,-54.8125,1
"83",-29.125,-60.4375,4
"84",-29.125,-60.3125,1
"85",-29.125,-59.8125,109
"86",-29.125,-59.6875,75
"87",-29.125,-59.5625,17
"88",-29.125,-59.4375,118
"89",-29.125,-59.3125,30
"90",-29.125,-59.1875,25
"91",-29.125,-59.0625,182
"92",-29.125,-58.9375,134
"93",-29.125,-58.8125,108
"94",-29.125,-58.6875,108
"95",-29.125,-58.5625,141
"96",-29.125,-58.4375,165
"97",-29.125,-58.3125,101
"98",-29.125,-58.1875,58
"99",-29.125,-58.0625,54
"100",-29.125,-57.9375,27
