"zone","label","data2.lat","data2.lon"
"R-05",1,-76.0833358764648,-50.5833320617676
"R-05",2,-76.0833358764648,-50.0833320617676
"R-05",3,-76.0833358764648,-49.5833320617676
"R-05",4,-76.0833358764648,-49.0833320617676
"R-05",5,-76.0833358764648,-48.5833320617676
"R-05",6,-76.0833358764648,-48.0833320617676
"R-05",7,-76.0833358764648,-47.5833320617676
"R-05",8,-76.0833358764648,-47.0833320617676
"R-05",9,-76.0833358764648,-46.5833320617676
"R-05",10,-76.0833358764648,-46.0833320617676
"R-05",11,-76.0833358764648,-45.5833320617676
"R-05",12,-76.0833358764648,-45.0833320617676
"R-05",13,-76.0833358764648,-44.5833320617676
"R-05",14,-76.0833358764648,-44.0833320617676
"R-05",15,-76.0833358764648,-43.5833320617676
"R-05",16,-76.0833358764648,-43.0833320617676
"R-05",17,-76.0833358764648,-42.5833320617676
"R-05",18,-76.0833358764648,-42.0833320617676
"R-05",19,-76.0833358764648,-41.5833320617676
"R-05",20,-76.0833358764648,-41.0833320617676
"R-05",21,-76.0833358764648,-40.5833320617676
"R-05",22,-76.0833358764648,-40.0833320617676
"R-05",23,-76.0833358764648,-39.5833320617676
"R-05",24,-76.0833358764648,-39.0833320617676
"R-05",25,-76.0833358764648,-38.5833320617676
"R-05",26,-76.0833358764648,-38.0833320617676
"R-05",27,-76.0833358764648,-37.5833320617676
"R-05",28,-76.0833358764648,-37.0833320617676
"R-05",29,-76.0833358764648,-36.5833320617676
"R-05",30,-76.0833358764648,-36.0833320617676
"R-05",31,-76.0833358764648,-35.5833320617676
"R-05",32,-76.0833358764648,-35.0833320617676
"R-05",33,-76.0833358764648,-34.5833320617676
"R-05",34,-76.0833358764648,-34.0833320617676
"R-05",35,-76.0833358764648,-33.5833320617676
"R-05",36,-76.0833358764648,-33.0833320617676
"R-05",37,-76.0833358764648,-32.5833320617676
"R-05",38,-76.0833358764648,-32.0833320617676
"R-05",39,-76.0833358764648,-31.5833339691162
"R-05",40,-76.0833358764648,-31.0833339691162
"R-05",41,-75.75,-51.5833320617676
"R-05",42,-75.75,-51.0833320617676
"R-05",43,-75.75,-50.5833320617676
"R-05",44,-75.75,-50.0833320617676
"R-05",45,-75.75,-31.0833339691162
"R-05",46,-75.75,-30.5833339691162
"R-05",47,-75.75,-30.0833339691162
"R-05",48,-75.4166641235352,-53.0833320617676
"R-05",49,-75.4166641235352,-52.5833320617676
"R-05",50,-75.4166641235352,-52.0833320617676
"R-05",51,-75.4166641235352,-51.5833320617676
"R-05",52,-75.4166641235352,-30.5833339691162
"R-05",53,-75.4166641235352,-30.0833339691162
"R-04",54,-75.0833358764648,-55.5833320617676
"R-05",55,-75.0833358764648,-55.0833320617676
"R-05",56,-75.0833358764648,-54.5833320617676
"R-05",57,-75.0833358764648,-54.0833320617676
"R-05",58,-75.0833358764648,-53.5833320617676
"R-05",59,-75.0833358764648,-30.0833339691162
"R-05",60,-75.0833358764648,-29.5833339691162
"R-05",61,-75.0833358764648,-29.0833339691162
"R-05",62,-75.0833358764648,-28.5833339691162
"R-04",63,-74.75,-57.0833320617676
"R-04",64,-74.75,-56.5833320617676
"R-04",65,-74.75,-56.0833320617676
"R-04",66,-74.75,-55.5833320617676
"R-05",67,-74.75,-29.0833339691162
"R-05",68,-74.75,-28.5833339691162
"R-05",69,-74.75,-28.0833339691162
"R-04",70,-74.4166641235352,-58.0833320617676
"R-04",71,-74.4166641235352,-57.5833320617676
"R-04",72,-74.4166641235352,-57.0833320617676
"R-05",73,-74.4166641235352,-28.5833339691162
"R-05",74,-74.4166641235352,-28.0833339691162
"R-04",75,-74.0833358764648,-57.5833320617676
"R-04",76,-74.0833358764648,-57.0833320617676
"R-05",77,-74.0833358764648,-28.5833339691162
"R-05",78,-74.0833358764648,-28.0833339691162
"R-05",79,-74.0833358764648,-27.5833339691162
"R-04",80,-73.75,-57.5833320617676
"R-04",81,-73.75,-57.0833320617676
"R-04",82,-73.75,-56.5833320617676
"R-05",83,-73.75,-28.0833339691162
"R-05",84,-73.75,-27.5833339691162
"R-05",85,-73.75,-27.0833339691162
"R-05",86,-73.75,-26.5833339691162
