OccurrenceID;Dvpt type;Mission;Year;Latitude;Longitude;Station;Station_Year;Bioregion;Depth (GEBCO);PF;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species2
3985;Lecithotrophic;JR15005 British Antarctic Survey;2016;-62.15421;-44.99019;-62,15421_-44,99019;-62,15421_-44,99019_2016;South Orkney Islands;-556;South;172768;Acodontaster hodgsoni;(Bell, 1908);Animalia;Echinodermata;Asteroidea;Valvatida;Odontasteridae;Acodontaster;;hodgsoni
3986;Lecithotrophic;JR15005 British Antarctic Survey;2016;-62.16168;-44.98773;-62,16168_-44,98773;-62,16168_-44,98773_2016;South Orkney Islands;-530;South;172768;Acodontaster hodgsoni;(Bell, 1908);Animalia;Echinodermata;Asteroidea;Valvatida;Odontasteridae;Acodontaster;;hodgsoni
3987;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.22065;-46.68984;-60,22065_-46,68984;-60,22065_-46,68984_2016;South Orkney Islands;-807;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3988;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.32156;-46.76898;-60,32156_-46,76898;-60,32156_-46,76898_2016;South Orkney Islands;-826;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3989;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.35385;-46.68411;-60,35385_-46,68411;-60,35385_-46,68411_2016;South Orkney Islands;-573;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3990;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.35437;-46.68423;-60,35437_-46,68423;-60,35437_-46,68423_2016;South Orkney Islands;-545;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3991;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.35469;-46.68423;-60,35469_-46,68423;-60,35469_-46,68423_2016;South Orkney Islands;-540;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3992;Lecithotrophic;JR15005 British Antarctic Survey;2016;-60.66381;-43.09772;-60,66381_-43,09772;-60,66381_-43,09772_2016;South Orkney Islands;-2167;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3993;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.03592;-46.95517;-61,03592_-46,95517;-61,03592_-46,95517_2016;South Orkney Islands;-1630;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3994;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.14733;-43.995;-61,14733_-43,995;-61,14733_-43,995_2016;South Orkney Islands;-389;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3995;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.147333;-43.995;-61,147333_-43,995;-61,147333_-43,995_2016;South Orkney Islands;-361;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3996;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.16033;-44.0395;-61,16033_-44,0395;-61,16033_-44,0395_2016;South Orkney Islands;-354;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3997;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.160333;-44.0395;-61,160333_-44,0395;-61,160333_-44,0395_2016;South Orkney Islands;-332;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3998;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.176833;-45.6985;-61,176833_-45,6985;-61,176833_-45,6985_2016;South Orkney Islands;-328;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
3999;Lecithotrophic;JR15005 British Antarctic Survey;2016;-61.18083;-45.73117;-61,18083_-45,73117;-61,18083_-45,73117_2016;South Orkney Islands;-338;South;172715;Bathybiaster loripes;Sladen, 1889;Animalia;Echinodermata;Asteroidea;Paxillosida;Astropectinidae;Bathybiaster;;loripes
