decimalLongitude;decimalLatitude;id
69.78207;-49.48486;presence
69.78959;-49.54766;presence
69.7942;-49.547;presence
69.825;-49.55;presence
69.9;-49.515;presence
69.94;-49.57;presence
69.94;-49.388;presence
69.945;-49.387;presence
69.98;-49.47;presence
70.146;-49.507;presence
70.15521;-49.39311;presence
70.155;-49.502;presence
70.1582;-49.5056;presence
70.16207;-49.49296;presence
70.215;-49.355;presence
70.21827;-49.35277;presence
70.2191;-49.3537;presence
70.22213;-49.35571;presence
70.22696;-49.35207;presence
70.246;-49.38;presence
70.345;-49.37;presence
69.9723;-49.4768;presence
69.81;-49.34;presence
69.815;-49.345;presence
69.8189;-49.34;presence
69.766;-49.5407;presence
