"","x","y","numb"
"1",-61.375,-69.8125,5
"2",-61.375,-69.6875,3
"3",-61.375,-69.5625,2
"4",-61.375,-69.4375,3
"5",-61.375,-69.3125,3
"6",-61.125,-74.8125,413
"7",-61.125,-74.6875,117
"8",-61.125,-70.0625,22
"9",-61.125,-69.9375,40
"10",-61.125,-69.8125,7
"11",-61.125,-69.6875,8
"12",-61.125,-69.5625,32
"13",-61.125,-69.4375,13
"14",-61.125,-69.3125,27
"15",-60.875,-74.9375,819
"16",-60.875,-74.8125,2972
"17",-60.875,-74.6875,2412
"18",-60.875,-74.4375,172
"19",-60.875,-74.3125,12
"20",-60.875,-70.8125,20
"21",-60.875,-70.6875,8
"22",-60.875,-70.3125,2
"23",-60.875,-70.1875,11
"24",-60.875,-70.0625,70
"25",-60.875,-69.9375,65
"26",-60.875,-69.8125,154
"27",-60.875,-69.6875,247
"28",-60.875,-69.5625,108
"29",-60.875,-69.4375,45
"30",-60.875,-69.3125,25
"31",-60.875,-69.1875,14
"32",-60.875,-69.0625,1
"33",-60.625,-75.0625,248
"34",-60.625,-74.9375,998
"35",-60.625,-74.8125,1365
"36",-60.625,-74.6875,2140
"37",-60.625,-74.5625,1168
"38",-60.625,-74.4375,1554
"39",-60.625,-74.3125,554
"40",-60.625,-74.1875,278
"41",-60.625,-70.9375,3
"42",-60.625,-70.8125,17
"43",-60.625,-70.6875,51
"44",-60.625,-70.5625,8
"45",-60.625,-70.4375,25
"46",-60.625,-70.3125,25
"47",-60.625,-70.1875,72
"48",-60.625,-70.0625,59
"49",-60.625,-69.9375,36
"50",-60.625,-69.8125,75
"51",-60.625,-69.6875,165
"52",-60.625,-69.5625,109
"53",-60.625,-69.4375,36
"54",-60.625,-69.3125,41
"55",-60.625,-69.1875,35
"56",-60.625,-69.0625,37
"57",-60.625,-68.9375,8
"58",-60.375,-75.0625,1652
"59",-60.375,-74.9375,1332
"60",-60.375,-74.8125,1397
"61",-60.375,-74.6875,1645
"62",-60.375,-74.5625,1528
"63",-60.375,-74.4375,1052
"64",-60.375,-74.3125,970
"65",-60.375,-74.1875,1110
"66",-60.375,-74.0625,874
"67",-60.375,-73.9375,759
"68",-60.375,-73.8125,514
"69",-60.375,-72.0625,58
"70",-60.375,-71.9375,19
"71",-60.375,-71.8125,60
"72",-60.375,-71.6875,54
"73",-60.375,-71.5625,77
"74",-60.375,-71.4375,27
"75",-60.375,-71.3125,25
"76",-60.375,-71.1875,31
"77",-60.375,-71.0625,18
"78",-60.375,-70.9375,33
"79",-60.375,-70.8125,67
"80",-60.375,-70.6875,42
"81",-60.375,-70.5625,33
"82",-60.375,-70.4375,26
"83",-60.375,-70.3125,55
"84",-60.375,-70.1875,72
"85",-60.375,-70.0625,24
"86",-60.375,-69.9375,12
"87",-60.375,-69.8125,8
"88",-60.375,-69.6875,37
"89",-60.375,-69.5625,67
"90",-60.375,-69.4375,25
"91",-60.375,-69.3125,15
"92",-60.375,-69.1875,8
"93",-60.375,-69.0625,20
"94",-60.375,-68.9375,21
"95",-60.375,-68.8125,7
"96",-60.375,-68.6875,1
"97",-60.125,-75.0625,1784
"98",-60.125,-74.9375,1226
"99",-60.125,-74.8125,1508
"100",-60.125,-74.6875,1565
"101",-60.125,-74.5625,1117
"102",-60.125,-74.4375,735
"103",-60.125,-74.3125,805
"104",-60.125,-74.1875,1331
"105",-60.125,-74.0625,1466
"106",-60.125,-73.9375,851
"107",-60.125,-73.8125,970
"108",-60.125,-73.6875,1384
"109",-60.125,-73.5625,265
"110",-60.125,-72.1875,7
"111",-60.125,-72.0625,232
"112",-60.125,-71.9375,328
"113",-60.125,-71.8125,196
"114",-60.125,-71.6875,222
"115",-60.125,-71.5625,193
"116",-60.125,-71.4375,144
"117",-60.125,-71.3125,155
"118",-60.125,-71.1875,141
"119",-60.125,-71.0625,150
"120",-60.125,-70.9375,87
"121",-60.125,-70.8125,21
"122",-60.125,-70.6875,15
"123",-60.125,-70.5625,112
"124",-60.125,-70.4375,130
"125",-60.125,-70.3125,80
"126",-60.125,-70.1875,30
"127",-60.125,-70.0625,14
"128",-60.125,-69.9375,17
"129",-60.125,-69.8125,11
"130",-60.125,-69.6875,10
